# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1491
#@/user_id	29f50511-2ff1-467a-b4e1-0cf2271c2eee
a 	啊	c=5 d=1.24199 t=1491
ai hao 	愛好	c=1 d=1 t=779
ai ren 	愛人	c=1 d=1 t=682
ai shou ai jiao 	礙手礙腳	c=1 d=1 t=1139
an jian 	按鍵	c=1 d=1 t=1021
an niu 	按鈕	c=1 d=1.0827 t=1069
an xia 	按下	c=2 d=1.79057 t=1036
an zhao 	按照	c=1 d=1 t=857
an zhuang 	安裝	c=1 d=1 t=438
ba 	吧	c=3 d=1.08543 t=1083
ba 	把	c=2 d=1.12124 t=927
ba ba 	粑粑	c=2 d=2.07045 t=923
ba bai 	八百	c=0 d=0.1 t=655
ba bai li 	八百裏	c=1 d=1 t=656
ba ci 	八次	c=0 d=0.1 t=29
ba ci fang 	八次方	c=1 d=1 t=30
ba ge 	八個	c=1 d=1 t=22
ba ni 	把你	c=1 d=1 t=703
ban 	辦	c=0 d=0.1 t=422
ban deng 	板凳	c=0 d=0.1 t=942
ban tou ming 	半透明	c=1 d=1 t=1187
bang ding 	綁定	c=1 d=1 t=1408
bang mang 	幫忙	c=1 d=1 t=1148
bao bao 	寶寶	c=1 d=1 t=316
bao hu 	保護	c=1 d=1 t=509
bao hu zhe 	保護者	c=2 d=1.99005 t=504
bao ji 	爆機	c=1 d=1 t=48
bao qian 	抱歉	c=1 d=1 t=1383
bei 	倍	c=3 d=1.8353 t=242
bei 	被	c=5 d=1.89613 t=1406
bei ai 	被愛	c=1 d=1 t=684
bei da 	被打	c=1 d=1 t=900
bei jing 	背景	c=1 d=1 t=1219
ben 	奔	c=1 d=1 t=905
ben 	本	c=0 d=0.1 t=468
ben zhi 	本質	c=1 d=1 t=185
bi 	比	c=1 d=1 t=1430
bi bu shang 	比不上	c=0 d=0.1 t=731
bi ji ben 	筆記本	c=2 d=0.395513 t=838
bi ji ben li 	筆記本裏	c=1 d=1 t=839
bi jiao 	比較	c=1 d=0.101008 t=1472
bi jiao hua suan 	比較划算	c=1 d=1 t=1473
bi jing 	畢竟	c=1 d=1 t=1466
bi ni 	比你	c=0 d=0.1 t=884
bi wo 	比我	c=1 d=1 t=914
bi ye 	畢業	c=2 d=1.02975 t=878
bi zhi 	壁紙	c=2 d=1.66365 t=95
bian 	變	c=1 d=1 t=362
bian 	遍	c=0 d=0.1 t=663
bian cheng 	變成	c=1 d=1 t=1287
bian ge 	變革	c=2 d=1.85642 t=1460
bian jie 	邊界	c=0 d=0.1 t=234
bian jie jian cha 	邊界檢查	c=1 d=1 t=235
bian li 	遍歷	c=2 d=1.94176 t=611
bian tai 	變態	c=1 d=1 t=666
bian wu 	變物	c=1 d=1 t=639
biao da shi 	表達式	c=1 d=1 t=260
biao ming 	表明	c=1 d=1 t=1247
biao zhun 	標準	c=1 d=1 t=269
bie bei 	別被	c=1 d=1 t=1145
bie de 	別的	c=1 d=1 t=1410
bie li 	別理	c=1 d=1 t=1143
bing du 	病毒	c=1 d=1 t=554
bu 	不	c=1 d=0.156279 t=1486
bu cuo 	不錯	c=3 d=1.01288 t=1089
bu dao 	不到	c=0 d=0.1 t=878
bu duo 	不多	c=0 d=0.1 t=641
bu duo le 	不多了	c=1 d=1 t=642
bu gei fa gong zi 	不給發工資	c=1 d=1 t=179
bu guan 	不管	c=1 d=1 t=449
bu hui 	不會	c=0 d=0.1 t=767
bu liao 	不了	c=1 d=1 t=714
bu liu 	不留	c=0 d=0.1 t=712
bu man zu 	不滿足	c=1 d=1 t=844
bu neng 	不能	c=1 d=1 t=70
bu neng yong 	不能用	c=1 d=1 t=1091
bu qi 	不起	c=0 d=0.1 t=203
bu ran 	不然	c=1 d=1 t=1313
bu ru 	不如	c=1 d=0.496531 t=320
bu ru yong 	不如用	c=1 d=1 t=321
bu she de 	不捨得	c=0 d=0.1 t=212
bu she de chi 	不捨得吃	c=1 d=1 t=213
bu shi 	不是	c=5 d=1.09433 t=1433
bu si 	不死	c=0 d=0.1 t=539
bu song 	不送	c=0 d=0.1 t=970
bu suan 	不算	c=0 d=0.199501 t=461
bu tong 	不同	c=0 d=0.1 t=371
bu tong de yi si 	不同的意思	c=1 d=1 t=372
bu wan 	不晚	c=1 d=1 t=1076
bu xi guan 	不習慣	c=1 d=1 t=1132
bu xi huan 	不喜歡	c=3 d=1.99325 t=766
bu xiao xin 	不小心	c=2 d=1.02916 t=1316
bu yao 	不要	c=2 d=1.65291 t=1310
bu yao chi 	不要吃	c=1 d=1 t=1256
bu yong 	不用	c=1 d=1.08564 t=348
bu yong zhe ge 	不用這個	c=1 d=1 t=318
bu zhu 	不住	c=0 d=0.1 t=949
cai shi 	纔是	c=0 d=0.1 t=868
can shu 	參數	c=2 d=1.12682 t=619
cao 	艹	c=1 d=1 t=1451
cao zuo 	操作	c=2 d=1.00314 t=1445
cao zuo xi tong 	操作系統	c=0 d=0.1 t=292
cao zuo xi tong wu guang 	操作系統無光	c=1 d=1 t=293
ce shi 	測試	c=1 d=1.00065 t=1197
ce shi fu 	測試副	c=1 d=1 t=51
ce shi fu 	測試服	c=3 d=1.00691 t=1203
cha bu duo 	差不多	c=1 d=1 t=739
cha jian 	插件	c=2 d=1.96079 t=331
cha xun 	查詢	c=1 d=1 t=1393
chan sheng 	產生	c=1 d=1 t=1283
chao guo 	超過	c=1 d=1 t=678
chao ji 	超級	c=1 d=1 t=1029
chen 	晨	c=1 d=1 t=1061
cheng 	成	c=2 d=1.26185 t=1303
cheng dui 	成對	c=0 d=0.1 t=289
cheng dui chu xian 	成對出現	c=1 d=1 t=290
cheng hu 	稱呼	c=0 d=0.1 t=1298
cheng xu 	程序	c=1 d=1 t=1340
chi 	吃	c=3 d=1.07491 t=1334
chi bu qi 	吃不起	c=1 d=1 t=204
chi dai 	癡呆	c=1 d=1 t=1112
chi de 	吃得	c=0 d=0.1 t=1230
chi de mi 	吃得米	c=1 d=1 t=1231
chi guo 	吃過	c=1 d=1 t=1248
chi han 	癡漢	c=1 d=1 t=892
chi ji 	吃雞	c=2 d=1.01522 t=918
chi ji 	持戟	c=1 d=1 t=80
chi le 	吃了	c=0 d=0.1 t=1243
chi le jiu shi 	吃了就是	c=1 d=1 t=1244
chi mi 	吃米	c=2 d=1.86071 t=1311
chong cao jiu ye 	重操舊業	c=1 d=1 t=1450
chong wen 	重溫	c=1 d=1 t=631
chong zhuang 	重裝	c=2 d=1.74082 t=1458
chu lai 	出來	c=1 d=1.08737 t=1265
chu lai de 	出來的	c=1 d=1 t=1239
chu li qi 	處理器	c=0 d=0.1 t=245
